project_id,soil_type,groundwater_level,ucs,cutter_speed,thrust_force,face_pressure,settlement,downtime,alarms,risk_level,action_recommended
89,clay,3.16,15.41,3.12,1647.36,185.09,10.15,0.73,0,Medium,Adjust Pressure
90,sand,6.3,5.84,5.49,1308.73,196.23,10.65,0.16,1,Medium,Adjust Pressure
91,rock,4.82,11.02,5.29,1403.46,236.91,1.76,0.42,0,Low,Continue Operation
92,sand,7.72,11.95,4.83,1823.68,169.77,18.59,2.49,3,High,Reinforce & Reduce Speed
93,gravel,4.38,18.67,7.95,1410.0,175.85,18.53,2.16,3,High,Reinforce & Reduce Speed
94,gravel,8.5,2.88,6.77,1403.25,132.73,3.29,2.44,2,High,Reinforce & Reduce Speed
95,silt,6.52,18.17,3.9,2176.61,236.6,9.04,2.14,2,High,Reinforce & Reduce Speed
96,clay,6.43,10.84,4.63,2154.97,171.07,7.83,1.6,4,High,Reinforce & Reduce Speed
97,rock,9.11,12.52,2.7,2879.66,225.54,6.7,0.42,4,High,Reinforce & Reduce Speed
98,silt,5.21,14.86,5.44,2995.39,250.48,14.14,2.34,0,High,Reinforce & Reduce Speed
99,rock,0.82,11.44,6.57,2753.53,168.42,16.43,0.33,3,High,Reinforce & Reduce Speed
100,clay,4.84,12.12,5.01,2079.72,197.27,8.18,2.32,2,High,Reinforce & Reduce Speed
